"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-01","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","26","H,,S","32",",,W","21",",,W","  240",",,W","  240",",,W","16.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-02","8.95",",,W",,,"0.02",",,W,2400","0.0","T,,W","1.2",",,W","29","H,,S","33",",,W","28",",,W","  120",",,W","  110",",,W","18.1",",,W","21.9",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-03","16.78",",,W",,,"0.00","T,,W,2400","0.0","T,,W","1.2",",,W","24","H,,S","32",",,W","2",",,W","  310",",,W","  300",",,W","25.9",",,W","32.0",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-04","14.32",",,W",,,"0.00","T,,W,2400","0.0","T,,W","1.2",",,W","0","H,,S","4",",,W","-6",",,W","  320",",,W","  330",",,W","21.9",",,W","27.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-05","10.29",",,W",,,"0.00","T,,W,2400","0.0","T,,W","1.2",",,W","-1","H,,S","2",",,W","-8",",,W","  300",",,W","  310",",,W","17.0",",,W","21.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-06","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","-4","H,,S","5",",,W","-9",",,W","  300",",,W","  280",",,W","10.1",",,W","15.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-07","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","3","H,,S","9",",,W","-2",",,W","  320",",,W","  310",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-08","8.50",",,W",,,"0.00","T,,W,2400","0.0","T,,W","1.2",",,W","3","H,,S","18",",,W","-5",",,W","  160",",,W","  160",",,W","21.9",",,W","27.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-09","8.50",",,W",,,"0.07",",,W,2400","0.7",",,W","0.0","T,,W","18","H,,S","27",",,W","17",",,W","  130",",,W","  120",",,W","21.9",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-10","12.75",",,W",,,"0.23",",,W,2400","2.2",",,W","1.2",",,W","24","H,,S","28",",,W","4",",,W","  290",",,W","  300",",,W","25.1",",,W","35.1",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,,"    1",",,W"
