"id","timestamp","warm_up","voc","co2","room"
1,"2018-01-02 02:00:03",0,3.0,426.0,1
2,"2018-01-02 02:10:01",0,9.0,460.0,1
3,"2018-01-02 02:20:02",0,9.0,464.0,1
4,"2018-01-02 02:30:02",0,5.0,434.0,1
5,"2018-01-02 02:40:03",0,13.0,486.0,1
6,"2018-01-02 02:50:01",0,17.0,517.0,1
7,"2018-01-02 03:00:02",0,47.0,715.0,1
8,"2018-01-02 03:10:02",0,36.0,638.0,1
9,"2018-01-02 03:20:02",0,45.0,699.0,1
10,"2018-01-02 03:30:02",0,45.0,699.0,1
11,"2018-01-02 03:40:02",0,25.0,567.0,1
12,"2018-01-02 03:50:02",0,23.0,556.0,1
13,"2018-01-02 04:00:02",0,25.0,567.0,1
14,"2018-01-02 04:10:02",0,19.0,531.0,1
15,"2018-01-02 04:20:03",0,17.0,517.0,1
16,"2018-01-02 04:30:01",0,11.0,477.0,1
17,"2018-01-02 04:40:03",0,11.0,475.0,1
18,"2018-01-02 04:50:02",0,10.0,466.0,1
19,"2018-01-02 05:00:01",0,107.0,1107.0,1
20,"2018-01-02 05:10:03",0,75.0,895.0,1
21,"2018-01-02 05:20:02",0,25.0,570.0,1
22,"2018-01-02 05:30:03",0,21.0,542.0,1
23,"2018-01-02 05:40:02",0,14.0,496.0,1
24,"2018-01-02 05:50:03",0,9.0,460.0,1
25,"2018-01-02 06:00:02",0,1.0,413.0,1
26,"2018-01-02 06:10:02",0,2.0,416.0,1
27,"2018-01-02 06:20:02",0,3.0,423.0,1
28,"2018-01-02 06:30:03",0,1.0,408.0,1
29,"2018-01-02 06:40:03",0,7.0,451.0,1
30,"2018-01-02 06:50:02",0,8.0,457.0,1
31,"2018-01-02 07:00:02",0,8.0,457.0,1
32,"2018-01-02 07:10:02",0,3.0,424.0,1
33,"2018-01-02 07:20:02",0,12.0,482.0,1
34,"2018-01-02 07:30:03",0,12.0,485.0,1
35,"2018-01-02 07:40:02",0,13.0,487.0,1
36,"2018-01-02 07:50:03",0,12.0,480.0,1
37,"2018-01-02 08:00:02",0,5.0,439.0,1
38,"2018-01-02 08:10:02",0,7.0,448.0,1
39,"2018-01-02 08:20:02",0,12.0,480.0,1
40,"2018-01-02 08:30:02",0,14.0,496.0,1
41,"2018-01-02 08:40:02",0,7.0,452.0,1
42,"2018-01-02 08:50:02",0,9.0,460.0,1
43,"2018-01-02 09:00:03",0,17.0,517.0,1
44,"2018-01-02 09:10:02",0,9.0,463.0,1
45,"2018-01-02 09:20:03",0,17.0,517.0,1
46,"2018-01-02 09:30:03",0,15.0,503.0,1
47,"2018-01-02 09:40:03",0,6.0,442.0,1
48,"2018-01-02 09:50:01",0,19.0,530.0,1
49,"2018-01-02 10:00:02",0,21.0,540.0,1
50,"2018-01-02 10:10:01",0,14.0,496.0,1
51,"2018-01-02 10:20:02",0,21.0,540.0,1
52,"2018-01-02 10:30:01",0,23.0,556.0,1
53,"2018-01-02 10:40:02",0,33.0,620.0,1
54,"2018-01-02 10:50:02",0,51.0,735.0,1
55,"2018-01-02 11:00:02",0,17.0,515.0,1
56,"2018-01-02 11:10:02",0,25.0,566.0,1
57,"2018-01-02 11:20:02",0,18.0,520.0,1
58,"2018-01-02 11:30:02",0,18.0,523.0,1
59,"2018-01-02 11:40:02",0,45.0,700.0,1
60,"2018-01-02 11:50:01",0,5.0,438.0,1
61,"2018-01-02 12:00:03",0,2.0,418.0,1
62,"2018-01-02 12:10:02",0,14.0,493.0,1
63,"2018-01-02 12:20:02",0,12.0,481.0,1
64,"2018-01-02 12:30:02",0,457.0,3403.0,1
65,"2018-01-02 12:40:03",0,399.0,3023.0,1
66,"2018-01-02 12:50:02",0,212.0,1798.0,1
67,"2018-01-02 13:00:02",0,144.0,1349.0,1
68,"2018-01-02 13:10:01",0,158.0,1441.0,1
69,"2018-01-02 13:20:02",0,101.0,1065.0,1
70,"2018-01-02 13:30:03",0,99.0,1050.0,1
71,"2018-01-02 13:40:02",0,63.0,817.0,1
72,"2018-01-02 13:50:03",0,53.0,748.0,1
73,"2018-01-02 14:00:01",0,41.0,675.0,1
74,"2018-01-02 14:10:03",0,42.0,682.0,1
75,"2018-01-02 14:20:01",0,50.0,730.0,1
76,"2018-01-02 14:30:02",0,45.0,700.0,1
77,"2018-01-02 14:40:02",0,50.0,730.0,1
78,"2018-01-02 14:50:02",0,44.0,694.0,1
79,"2018-01-02 15:00:02",0,29.0,591.0,1
80,"2018-01-02 15:10:03",0,44.0,694.0,1
